SCORES_TXT_BEGIN_0 0 66 9 BLEU
3 3 2 2 1 1 0 0 3 
3 4 1 3 0 2 0 1 3 
3 4 2 3 1 2 0 1 3 
3 4 2 3 1 2 0 1 3 
3 4 1 3 0 2 0 1 3 
3 5 1 4 0 3 0 2 3 
3 4 0 3 0 2 0 1 3 
3 3 0 2 0 1 0 0 3 
3 5 1 4 0 3 0 2 3 
3 5 0 4 0 3 0 2 3 
3 3 0 2 0 1 0 0 3 
3 5 2 4 1 3 0 2 3 
3 3 1 2 0 1 0 0 3 
3 3 1 2 0 1 0 0 3 
3 5 1 4 0 3 0 2 3 
3 4 0 3 0 2 0 1 3 
3 5 1 4 0 3 0 2 3 
3 4 0 3 0 2 0 1 3 
3 4 0 3 0 2 0 1 3 
3 5 0 4 0 3 0 2 3 
3 4 0 3 0 2 0 1 3 
3 4 0 3 0 2 0 1 3 
3 4 0 3 0 2 0 1 3 
3 4 1 3 0 2 0 1 3 
3 4 0 3 0 2 0 1 3 
3 4 1 3 0 2 0 1 3 
3 5 0 4 0 3 0 2 3 
3 4 0 3 0 2 0 1 3 
3 6 1 5 0 4 0 3 3 
3 5 0 4 0 3 0 2 3 
3 5 0 4 0 3 0 2 3 
3 6 0 5 0 4 0 3 3 
3 5 0 4 0 3 0 2 3 
3 4 1 3 0 2 0 1 3 
3 5 0 4 0 3 0 2 3 
3 5 0 4 0 3 0 2 3 
3 4 1 3 0 2 0 1 3 
3 5 0 4 0 3 0 2 3 
3 4 0 3 0 2 0 1 3 
3 5 0 4 0 3 0 2 3 
3 5 1 4 0 3 0 2 3 
3 6 1 5 0 4 0 3 3 
3 5 1 4 0 3 0 2 3 
3 5 1 4 0 3 0 2 3 
3 6 0 5 0 4 0 3 3 
3 3 0 2 0 1 0 0 3 
3 6 0 5 0 4 0 3 3 
3 5 1 4 0 3 0 2 3 
3 5 0 4 0 3 0 2 3 
3 6 0 5 0 4 0 3 3 
3 5 0 4 0 3 0 2 3 
3 4 0 3 0 2 0 1 3 
3 4 0 3 0 2 0 1 3 
3 5 0 4 0 3 0 2 3 
3 6 0 5 0 4 0 3 3 
3 4 0 3 0 2 0 1 3 
3 5 0 4 0 3 0 2 3 
3 4 0 3 0 2 0 1 3 
3 6 1 5 0 4 0 3 3 
3 6 0 5 0 4 0 3 3 
3 5 0 4 0 3 0 2 3 
3 6 1 5 0 4 0 3 3 
3 5 0 4 0 3 0 2 3 
3 6 0 5 0 4 0 3 3 
3 5 0 4 0 3 0 2 3 
3 6 0 5 0 4 0 3 3 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 1 100 9 BLEU
4 4 3 3 2 2 1 1 4 
4 5 3 4 2 3 1 2 4 
3 3 1 2 0 1 0 0 4 
4 4 1 3 0 2 0 1 4 
4 5 1 4 0 3 0 2 4 
4 5 2 4 1 3 0 2 4 
4 6 2 5 1 4 0 3 4 
4 5 3 4 2 3 1 2 4 
3 4 1 3 0 2 0 1 4 
4 6 3 5 2 4 1 3 4 
4 5 1 4 0 3 0 2 4 
4 4 1 3 0 2 0 1 4 
4 4 0 3 0 2 0 1 4 
4 4 1 3 0 2 0 1 4 
4 6 1 5 0 4 0 3 4 
3 5 1 4 0 3 0 2 4 
4 5 0 4 0 3 0 2 4 
4 5 1 4 0 3 0 2 4 
4 5 0 4 0 3 0 2 4 
4 5 2 4 0 3 0 2 4 
4 5 1 4 0 3 0 2 4 
4 5 1 4 0 3 0 2 4 
4 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
4 4 1 3 0 2 0 1 4 
4 4 2 3 1 2 0 1 4 
4 6 1 5 0 4 0 3 4 
4 6 0 5 0 4 0 3 4 
4 5 3 4 2 3 1 2 4 
4 5 2 4 0 3 0 2 4 
4 4 2 3 0 2 0 1 4 
4 5 1 4 0 3 0 2 4 
4 4 1 3 0 2 0 1 4 
4 4 2 3 1 2 0 1 4 
4 6 2 5 0 4 0 3 4 
3 4 1 3 0 2 0 1 4 
2 3 0 2 0 1 0 0 4 
4 6 2 5 1 4 0 3 4 
4 5 1 4 0 3 0 2 4 
3 3 0 2 0 1 0 0 4 
4 6 1 5 0 4 0 3 4 
4 6 1 5 0 4 0 3 4 
3 4 0 3 0 2 0 1 4 
4 5 1 4 0 3 0 2 4 
4 5 2 4 1 3 0 2 4 
4 4 0 3 0 2 0 1 4 
4 6 1 5 0 4 0 3 4 
3 5 1 4 0 3 0 2 4 
4 5 0 4 0 3 0 2 4 
4 4 1 3 0 2 0 1 4 
4 5 1 4 0 3 0 2 4 
4 6 2 5 0 4 0 3 4 
3 5 0 4 0 3 0 2 4 
4 5 2 4 1 3 0 2 4 
4 5 2 4 0 3 0 2 4 
3 5 0 4 0 3 0 2 4 
4 5 2 4 1 3 0 2 4 
4 5 2 4 1 3 0 2 4 
4 6 3 5 2 4 1 3 4 
4 7 1 6 0 5 0 4 4 
4 7 2 6 1 5 0 4 4 
4 5 0 4 0 3 0 2 4 
4 6 1 5 0 4 0 3 4 
4 5 2 4 1 3 0 2 4 
4 5 1 4 0 3 0 2 4 
4 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
4 5 1 4 0 3 0 2 4 
4 6 2 5 1 4 0 3 4 
4 6 2 5 1 4 0 3 4 
4 6 2 5 1 4 0 3 4 
3 3 0 2 0 1 0 0 4 
3 4 1 3 0 2 0 1 4 
4 4 1 3 0 2 0 1 4 
3 3 0 2 0 1 0 0 4 
3 6 0 5 0 4 0 3 4 
4 4 0 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 3 1 2 0 1 0 0 4 
4 6 1 5 0 4 0 3 4 
3 4 1 3 0 2 0 1 4 
4 4 0 3 0 2 0 1 4 
4 6 1 5 0 4 0 3 4 
4 6 2 5 1 4 0 3 4 
3 4 0 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
4 6 1 5 0 4 0 3 4 
4 6 1 5 0 4 0 3 4 
4 6 0 5 0 4 0 3 4 
4 5 1 4 0 3 0 2 4 
4 5 1 4 0 3 0 2 4 
4 4 1 3 0 2 0 1 4 
4 5 1 4 0 3 0 2 4 
3 5 0 4 0 3 0 2 4 
2 3 0 2 0 1 0 0 4 
4 6 2 5 1 4 0 3 4 
4 5 1 4 0 3 0 2 4 
4 5 0 4 0 3 0 2 4 
4 5 0 4 0 3 0 2 4 
4 6 1 5 0 4 0 3 4 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 2 4 9 BLEU
2 2 1 1 0 0 0 0 2 
1 2 0 1 0 0 0 0 2 
2 2 0 1 0 0 0 0 2 
1 2 0 1 0 0 0 0 2 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 3 1 9 BLEU
19 19 18 18 17 17 16 16 19 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 4 5 9 BLEU
16 16 15 15 14 14 13 13 16 
15 16 13 15 11 14 9 13 16 
16 17 14 16 12 15 10 14 16 
15 16 13 15 11 14 9 13 16 
16 17 14 16 12 15 10 14 16 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 5 12 9 BLEU
11 11 10 10 9 9 8 8 11 
11 12 9 11 7 10 5 9 11 
11 12 9 11 8 10 7 9 11 
11 12 9 11 8 10 7 9 11 
11 12 9 11 7 10 5 9 11 
11 14 9 13 8 12 7 11 11 
11 13 9 12 8 11 7 10 11 
11 12 9 11 7 10 5 9 11 
11 12 10 11 8 10 6 9 11 
11 12 9 11 8 10 7 9 11 
11 12 9 11 7 10 6 9 11 
11 12 9 11 7 10 5 9 11 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 6 1 9 BLEU
16 16 15 15 14 14 13 13 16 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 7 100 9 BLEU
8 9 5 8 3 7 2 6 12 
8 10 5 9 3 8 2 7 12 
8 10 5 9 3 8 2 7 12 
8 10 5 9 3 8 2 7 12 
7 9 4 8 3 7 2 6 12 
8 10 5 9 3 8 2 7 12 
8 10 5 9 3 8 2 7 12 
8 10 5 9 3 8 2 7 12 
8 10 4 9 2 8 1 7 12 
8 10 5 9 3 8 2 7 12 
7 9 4 8 3 7 2 6 12 
8 11 5 10 3 9 2 8 12 
8 11 5 10 3 9 2 8 12 
8 14 5 13 3 12 2 11 12 
8 12 5 11 3 10 2 9 12 
8 10 4 9 3 8 2 7 12 
8 10 5 9 3 8 2 7 12 
8 10 5 9 3 8 2 7 12 
7 9 4 8 3 7 2 6 12 
8 11 5 10 3 9 2 8 12 
8 10 5 9 3 8 2 7 12 
8 12 5 11 3 10 2 9 12 
8 10 5 9 3 8 2 7 12 
8 11 5 10 3 9 2 8 12 
8 13 5 12 3 11 2 10 12 
7 9 4 8 3 7 2 6 12 
8 15 5 14 3 13 2 12 12 
8 10 5 9 3 8 2 7 12 
8 15 5 14 3 13 2 12 12 
8 11 5 10 3 9 2 8 12 
8 11 5 10 3 9 2 8 12 
8 10 4 9 1 8 0 7 12 
8 10 5 9 3 8 2 7 12 
8 10 5 9 3 8 2 7 12 
8 10 4 9 2 8 1 7 12 
8 10 4 9 1 8 0 7 12 
7 9 3 8 0 7 0 6 12 
8 12 4 11 1 10 0 9 12 
8 10 5 9 3 8 2 7 12 
7 9 4 8 2 7 1 6 12 
8 12 4 11 1 10 0 9 12 
8 11 5 10 3 9 2 8 12 
8 10 4 9 2 8 1 7 12 
8 10 4 9 3 8 2 7 12 
8 11 5 10 3 9 2 8 12 
8 10 5 9 2 8 1 7 12 
8 10 4 9 2 8 1 7 12 
7 10 4 9 3 8 2 7 12 
8 11 4 10 1 9 0 8 12 
8 10 4 9 2 8 1 7 12 
8 10 4 9 1 8 0 7 12 
8 10 4 9 2 8 1 7 12 
8 13 4 12 2 11 1 10 12 
8 11 5 10 3 9 2 8 12 
8 10 4 9 1 8 0 7 12 
7 9 4 8 2 7 1 6 12 
8 10 4 9 3 8 2 7 12 
8 10 4 9 1 8 0 7 12 
8 11 5 10 3 9 2 8 12 
8 10 4 9 2 8 1 7 12 
7 10 4 9 2 8 1 7 12 
7 9 4 8 2 7 1 6 12 
8 11 5 10 3 9 2 8 12 
8 11 4 10 2 9 1 8 12 
8 9 4 8 3 7 2 6 12 
8 10 4 9 2 8 1 7 12 
8 11 5 10 3 9 2 8 12 
8 10 4 9 2 8 1 7 12 
8 10 4 9 3 8 2 7 12 
8 10 4 9 3 8 2 7 12 
